,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,CC,GO:0030312,external encapsulating structure,83/560,185/4865,9.79E-32,2.08E-28,1.67E-28,MFAP2/C1QA/C1QB/COL16A1/COL8A2/S100A10/COL3A1/COL5A2/FN1/COL6A3/FBLN2/LAMB2/COL8A1/CCDC80/LRRC15/IGFBP7/SPARCL1/ANXA5/SFRP2/VCAN/LOX/SPARC/ADAMTS2/F13A1/DST/COL12A1/COL10A1/LAMA2/THBS2/AEBP1/COL1A2/AZGP1/PCOLCE/CTSB/CLU/SULF1/CTHRC1/CTSL/ASPN/TNC/COL5A1/CXCL12/HTRA1/CD151/CTSD/HPX/MDK/CD248/MMP13/VWF/A2M/MGP/LUM/DCN/POSTN/MMP14/LGALS3/LTBP2/SERPINA5/SERPINA3/FBN1/ANXA2/CILP/THSD4/MFGE8/MMP2/CRISPLD2/SERPINF1/COL1A1/TIMP2/LGALS3BP/LMAN1/TGFB1/APOE/TGM2/COL6A1/COL6A2/MMP11/TIMP3/LGALS1/MXRA5/TIMP1/GPC3,83
GO:0031012,CC,GO:0031012,extracellular matrix,83/560,185/4865,9.79E-32,2.08E-28,1.67E-28,MFAP2/C1QA/C1QB/COL16A1/COL8A2/S100A10/COL3A1/COL5A2/FN1/COL6A3/FBLN2/LAMB2/COL8A1/CCDC80/LRRC15/IGFBP7/SPARCL1/ANXA5/SFRP2/VCAN/LOX/SPARC/ADAMTS2/F13A1/DST/COL12A1/COL10A1/LAMA2/THBS2/AEBP1/COL1A2/AZGP1/PCOLCE/CTSB/CLU/SULF1/CTHRC1/CTSL/ASPN/TNC/COL5A1/CXCL12/HTRA1/CD151/CTSD/HPX/MDK/CD248/MMP13/VWF/A2M/MGP/LUM/DCN/POSTN/MMP14/LGALS3/LTBP2/SERPINA5/SERPINA3/FBN1/ANXA2/CILP/THSD4/MFGE8/MMP2/CRISPLD2/SERPINF1/COL1A1/TIMP2/LGALS3BP/LMAN1/TGFB1/APOE/TGM2/COL6A1/COL6A2/MMP11/TIMP3/LGALS1/MXRA5/TIMP1/GPC3,83
GO:0062023,CC,GO:0062023,collagen-containing extracellular matrix,77/560,167/4865,1.97E-30,2.79E-27,2.24E-27,MFAP2/C1QA/C1QB/COL16A1/COL8A2/S100A10/COL3A1/COL5A2/FN1/COL6A3/FBLN2/LAMB2/COL8A1/CCDC80/LRRC15/IGFBP7/SPARCL1/ANXA5/SFRP2/VCAN/SPARC/ADAMTS2/F13A1/DST/COL12A1/COL10A1/LAMA2/THBS2/AEBP1/COL1A2/AZGP1/PCOLCE/CTSB/CLU/SULF1/CTHRC1/CTSL/ASPN/TNC/COL5A1/CXCL12/HTRA1/CD151/CTSD/HPX/MDK/VWF/A2M/MGP/LUM/DCN/POSTN/LGALS3/LTBP2/SERPINA5/SERPINA3/FBN1/ANXA2/CILP/THSD4/MFGE8/MMP2/SERPINF1/COL1A1/TIMP2/LGALS3BP/LMAN1/TGFB1/APOE/TGM2/COL6A1/COL6A2/TIMP3/LGALS1/MXRA5/TIMP1/GPC3,77
GO:0005198,MF,GO:0005198,structural molecule activity,107/560,303/4865,7.31E-30,7.75E-27,6.24E-27,MFAP2/RPL11/COL16A1/COL8A2/RPS8/TUFT1/RPS27/COPA/ARPC5/RPS7/COL3A1/COL5A2/FN1/RPL37A/ARPC2/COL6A3/ARPC4/RPL32/FBLN2/RPSA/LAMB2/RPL29/COL8A1/IGFBP7/SEC31A/MAP1B/VCAN/RPS14/SPARC/MRPL22/HLA-DRB1/RPS18/RPS10/DST/COL12A1/COL10A1/LAMA2/THBS2/ACTB/AEBP1/COL1A2/PCOLCE/RPL7/RPL30/CTHRC1/MAL2/RPL8/ASPN/TNC/RPL35/COL5A1/MRPL41/VIM/RPLP2/RPL27A/COPB1/RPS3/VWF/MGP/TUBA1B/RPL41/LUM/DCN/RPLP0/RPL21/POSTN/LTBP2/FBN1/CILP/RPLP1/THSD4/RPS17/MFGE8/RPS2/RPS15A/RPL13/RPL23/RPL19/KRT19/KRT14/KRT17/RPL27/COL1A1/ACTG1/MRPL12/EPB41L3/RPL17/RPS15/RPL36/TPM4/RPL18A/UBA52/COPE/RPS19/APOE/RPL13A/RPS11/RPS9/RPL28/RPS5/MYL9/COL6A1/COL6A2/RPL3/MXRA5/RPS4X/RPL10,107
GO:0005201,MF,GO:0005201,extracellular matrix structural constituent,39/560,70/4865,1.64E-19,1.39E-16,1.12E-16,MFAP2/COL16A1/COL8A2/TUFT1/COL3A1/COL5A2/FN1/COL6A3/FBLN2/LAMB2/COL8A1/IGFBP7/VCAN/SPARC/COL12A1/COL10A1/LAMA2/THBS2/AEBP1/COL1A2/PCOLCE/CTHRC1/ASPN/TNC/COL5A1/VWF/MGP/LUM/DCN/POSTN/LTBP2/FBN1/CILP/THSD4/MFGE8/COL1A1/COL6A1/COL6A2/MXRA5,39
GO:0022626,CC,GO:0022626,cytosolic ribosome,44/560,89/4865,3.70E-19,2.61E-16,2.10E-16,RPL11/RPS8/RPS27/RPS7/RPL37A/RPL32/RPSA/RPL29/APOD/RPS14/RPS18/RPS10/RPL7/RPL30/RPL8/RPL35/RPLP2/RPL27A/RPS3/RPL41/RPLP0/RPL21/RPLP1/RPS17/RPS2/RPS15A/RPL13/RPL23/RPL19/RPL27/RPL17/RPS15/RPL36/RPL18A/UBA52/RPS19/RPL13A/RPS11/RPS9/RPL28/RPS5/RPL3/RPS4X/RPL10,44
GO:0002181,BP,GO:0002181,cytoplasmic translation,49/560,117/4865,2.09E-17,1.27E-14,1.02E-14,RPL11/RPS8/RPS27/RPS7/RPL37A/RPL32/RPSA/RPL29/EIF4G1/RPS14/RPS18/RPS10/EIF3B/RPL7/RPL30/RPL8/RPL35/RPLP2/RPL27A/RPS3/RPL41/RPLP0/RPL21/RPLP1/RPS17/RPS2/GSPT1/RPS15A/RPL13/RPL23/RPL19/RPL27/RPL17/RPS15/EEF2/RPL36/RPL18A/UBA52/EIF3K/RPS19/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3L/RPL3/RPS4X/RPL10,49
GO:0003735,MF,GO:0003735,structural constituent of ribosome,46/560,131/4865,5.25E-13,2.78E-10,2.24E-10,RPL11/RPS8/RPS27/RPS7/RPL37A/RPL32/RPSA/RPL29/RPS14/MRPL22/RPS18/RPS10/RPL7/RPL30/RPL8/RPL35/MRPL41/RPLP2/RPL27A/RPS3/RPL41/RPLP0/RPL21/RPLP1/RPS17/RPS2/RPS15A/RPL13/RPL23/RPL19/RPL27/MRPL12/RPL17/RPS15/RPL36/RPL18A/UBA52/RPS19/RPL13A/RPS11/RPS9/RPL28/RPS5/RPL3/RPS4X/RPL10,46
GO:0022610,BP,GO:0022610,biological adhesion,105/560,466/4865,6.46E-13,3.04E-10,2.45E-10,PDPN/COL16A1/COL8A2/GBP1/CNN3/S100A10/SHC1/ADAM15/MUC1/CD55/EPCAM/ANTXR1/NCK2/FAP/ITGAV/COL3A1/HSPD1/FN1/IGFBP2/ARPC2/COL6A3/FBLN2/RPSA/LAMB2/COL8A1/CCDC80/PODXL2/RAP2B/LRRC15/APOD/IGFBP7/SPARCL1/SPP1/PPP3CA/SFRP2/PALLD/VCAN/IRF1/CD74/HLA-A/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/DST/COL12A1/CD24/LAMA2/THBS2/ACTB/AGR2/GPNMB/AZGP1/ZYX/B4GALT1/TNC/COL5A1/GTPBP4/GATA3/CXCL12/ADAM12/CD151/CD81/SAA1/CD44/MDK/RPS3/VWF/CD9/CD63/LRP1/POSTN/GAS6/MMP14/LGALS3/ZFP36L1/B2M/FBN1/TMOD3/ANXA2/ITGA11/MFGE8/ITGAX/CCL5/ERBB2/COL1A1/LGALS3BP/ACTG1/TWSG1/BSG/PRDX2/ADGRE5/SPINT2/ACTN4/TGFB1/PRNP/MYL9/TGM2/GNAS/ITGB2/COL6A1/COL6A2/XBP1/LGALS1/FLNA,105
GO:0007155,BP,GO:0007155,cell adhesion,104/560,461/4865,7.87E-13,3.34E-10,2.69E-10,PDPN/COL16A1/COL8A2/GBP1/CNN3/S100A10/SHC1/ADAM15/MUC1/CD55/EPCAM/ANTXR1/NCK2/FAP/ITGAV/COL3A1/HSPD1/FN1/IGFBP2/ARPC2/COL6A3/FBLN2/RPSA/LAMB2/COL8A1/CCDC80/PODXL2/RAP2B/APOD/IGFBP7/SPARCL1/SPP1/PPP3CA/SFRP2/PALLD/VCAN/IRF1/CD74/HLA-A/HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/DST/COL12A1/CD24/LAMA2/THBS2/ACTB/AGR2/GPNMB/AZGP1/ZYX/B4GALT1/TNC/COL5A1/GTPBP4/GATA3/CXCL12/ADAM12/CD151/CD81/SAA1/CD44/MDK/RPS3/VWF/CD9/CD63/LRP1/POSTN/GAS6/MMP14/LGALS3/ZFP36L1/B2M/FBN1/TMOD3/ANXA2/ITGA11/MFGE8/ITGAX/CCL5/ERBB2/COL1A1/LGALS3BP/ACTG1/TWSG1/BSG/PRDX2/ADGRE5/SPINT2/ACTN4/TGFB1/PRNP/MYL9/TGM2/GNAS/ITGB2/COL6A1/COL6A2/XBP1/LGALS1/FLNA,104
