,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:1902253,BP,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,8/560,16/4865,0.000162495,0.002860863,0.002303822,RPL11/MUC1/RPS7/CD74/HNRNPK/CD44/UBB/MIF,8
GO:0001774,BP,GO:0001774,microglial cell activation,7/560,13/4865,0.000237438,0.003904845,0.003144529,C1QA/IFNGR1/CLU/GRN/TYROBP/IFNGR2/ITGB2,7
GO:0030282,BP,GO:0030282,bone mineralization,12/560,37/4865,0.000587776,0.007892201,0.006355504,TUFT1/ANKH/LOX/ENPP1/GPNMB/COL1A2/ASPN/MMP13/MGP/TGFB1/ATF4/GPC3,12
GO:0007188,BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,10/560,28/4865,0.000716082,0.009291543,0.007482379,WASF2/RGS1/RAMP1/GNAI2/CXCL10/SLC9A3R1/GNA11/ADGRE5/GNAS/FLNA,10
GO:0034109,BP,GO:0034109,homotypic cell-cell adhesion,11/560,33/4865,0.000764561,0.009741843,0.007845001,PDPN/FN1/RAP2B/ACTB/CD9/CCL5/ACTG1/MYL9/GNAS/LGALS1/FLNA,11
GO:0045807,BP,GO:0045807,positive regulation of endocytosis,13/560,44/4865,0.000952436,0.011885847,0.009571544,PPP3CA/CLU/VPS28/HNRNPK/CD151/CD63/LRP1/B2M/ANXA2/RAB31/C3/APOE/GPC3,13
GO:0071634,BP,GO:0071634,regulation of transforming growth factor beta production,8/560,20/4865,0.001044743,0.012701554,0.010228425,ITGAV/CREB1/FN1/CD24/LAPTM4B/TSKU/LUM/TYROBP,8
GO:0007417,BP,GO:0007417,central nervous system development,53/560,305/4865,0.001094326,0.013266363,0.010683259,SDF4/C1QA/ID3/ARPC5/RTN4/COL3A1/CREB1/LAMB2/SEMA3F/COX17/APOD/PPP3CA/SFRP2/BASP1/VCAN/UQCRQ/PITX1/ATXN1/MARCKS/IFNGR1/ACTB/AQP1/CLU/PFKFB3/VIM/CXCL12/MDK/TSKU/CD9/C12orf57/SLC38A2/LRP1/NDRG2/HSP90AA1/UBE3A/B2M/NR2F2/GLIS2/MAPK3/UBB/GIT1/ERBB2/GRN/TIMP2/TWSG1/IER3IP1/C3/COX6B1/TYROBP/TGFB1/MBOAT7/MAFB/FLNA,53
GO:0050866,BP,GO:0050866,negative regulation of cell activation,14/560,50/4865,0.001104169,0.013347544,0.010748633,IRF1/CD74/HLA-DRB1/GPNMB/MDK/CD9/LGALS3/ERBB2/GRN/TWSG1/PRDX2/TYROBP/APOE/PRNP,14
GO:0019915,BP,GO:0019915,lipid storage,10/560,30/4865,0.00132435,0.015246763,0.012278054,ITGAV/ENPP1/SQLE/OSBPL8/NFKBIA/SMIM22/ALKBH7/C3/APOE/SREBF2,10
GO:1901699,BP,GO:1901699,cellular response to nitrogen compound,45/560,251/4865,0.001352385,0.015466765,0.012455219,COL16A1/SHC1/CAPN2/COL5A2/STAT1/CREB1/IGFBP5/GNAI2/MAP1B/GJA1/ENPP1/ACTB/AQP1/COL1A2/LY6E/VIM/ANO1/LRP1/RAP1B/OSBPL8/GJB2/ZFP36L1/LGMN/FBN1/MYO5A/MAPK3/MMP2/CYBA/MYO1C/RPL23/PPP1R1B/COL1A1/SLC9A3R1/RAB31/GNA11/PRNP/BCL2L1/TGM2/GNAS/COL6A1/XBP1/ATF4/SYAP1/CYBB/FLNA,45
