,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0097060,CC,GO:0097060,synaptic membrane,33/352,339/14611,8.52E-12,3.42E-08,2.96E-08,Abhd17b/Adora1/Ank1/Ank2/Cacna1c/Cdh8/Cntn6/Dlg1/Ephb2/Erbb3/Erc2/F2r/Gabbr1/Gabra1/Gria3/Grin2c/Grm1/Kcnh1/Kcnj3/Lrrc4/Nbea/Ntrk2/Olfm1/Ppp1r9b/Prkcg/Pten/Ptprd/Ptprz1/Rgs7bp/Shisa8/Slc4a8/Srgap2/Syp,33,
GO:0098793,CC,GO:0098793,presynapse,37/352,428/14611,1.51E-11,3.42E-08,2.96E-08,Adora1/App/Atp6v1g2/Cacna1c/Cdh8/Cntn6/Ctbp2/Dlg1/Ephb2/Erc2/Gabbr1/Gad2/Git2/Got1/Gria3/Grm1/Kcnab2/Kcnh1/Kcnj3/Kirrel3/Lamp1/Myo5a/Ntrk2/Pacsin1/Prkcb/Prkcg/Ptprd/Rgs7bp/Sh3gl2/Sh3gl3/Slc17a7/Slc4a8/Sptbn2/Sv2b/Syp/Syt2/Tmem163,37,
GO:0032279,CC,GO:0032279,asymmetric synapse,31/352,319/14611,3.94E-11,4.57E-08,3.95E-08,Abhd17b/Adgrb1/Adora1/Ank2/Cacna1c/Camk2n1/Dclk1/Dlg1/Dst/Erc2/Gng3/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1b/Nsf/Ntrk2/Ppp1r9b/Prkcg/Rgs7bp/Rpl8/Shisa8/Slc4a8/Sptbn1/Srgap2/Syp/Ywhaz,31,
GO:0098984,CC,GO:0098984,neuron to neuron synapse,32/352,339/14611,4.03E-11,4.57E-08,3.95E-08,Abhd17b/Adgrb1/Adora1/Ank2/Cacna1c/Camk2n1/Dclk1/Dlg1/Dst/Erc2/Gng3/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1b/Nsf/Ntrk2/Ppp1r9b/Prkcg/Ptprd/Rgs7bp/Rpl8/Shisa8/Slc4a8/Sptbn1/Srgap2/Syp/Ywhaz,32,
GO:0014069,CC,GO:0014069,postsynaptic density,30/352,310/14611,9.16E-11,8.31E-08,7.18E-08,Abhd17b/Adgrb1/Adora1/Ank2/Cacna1c/Camk2n1/Dclk1/Dlg1/Dst/Erc2/Gng3/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1b/Nsf/Ntrk2/Ppp1r9b/Prkcg/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srgap2/Syp/Ywhaz,30,
GO:0099572,CC,GO:0099572,postsynaptic specialization,30/352,327/14611,3.39E-10,2.56E-07,2.21E-07,Abhd17b/Adgrb1/Adora1/Ank2/Cacna1c/Camk2n1/Dclk1/Dlg1/Dst/Erc2/Gng3/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1b/Nsf/Ntrk2/Ppp1r9b/Prkcg/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srgap2/Syp/Ywhaz,30,
GO:0045211,CC,GO:0045211,postsynaptic membrane,23/352,238/14611,1.58E-08,1.02E-05,8.83E-06,Abhd17b/Adora1/Ank1/Ank2/Cacna1c/Dlg1/Ephb2/Erbb3/F2r/Gabbr1/Gabra1/Gria3/Grin2c/Grm1/Kcnh1/Lrrc4/Nbea/Ntrk2/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2,23,
GO:1902495,CC,GO:1902495,transmembrane transporter complex,24/352,273/14611,4.79E-08,2.71E-05,2.35E-05,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8/Uqcr10/Uqcrh,24,
GO:1990351,CC,GO:1990351,transporter complex,24/352,286/14611,1.15E-07,5.82E-05,5.03E-05,Cacna1c/Clic6/Gabra1/Gria3/Grin2c/Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3/Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Olfm1/Ryr2/Ryr3/Scn1b/Shisa8/Uqcr10/Uqcrh,24,
GO:0070469,CC,GO:0070469,respirasome,12/352,72/14611,1.33E-07,6.02E-05,5.21E-05,Cox6b2/Cox8a/Ndufa10/Ndufa11/Ndufb11/Ndufb6/Ndufb7/Ndufs8/Ndufv3/Uqcr10/Uqcr11/Uqcrh,12,
