,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0014069,CC,GO:0014069,postsynaptic density,31/324,310/14611,2.17745632203541e-12,5.22280929527583e-09,4.46314896607587e-09,Abhd17b/Adgrb1/Adora1/Cabp1/Cacna1c/Dlg1/Dst/Erc2/Gng3/Gphn/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1a/Map4/Nf1/Ntrk2/Ppp1r9b/Prkcg/Ptch1/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srcin1/Srgap2/Syp,31
GO:0097060,CC,GO:0097060,synaptic membrane,32/324,339/14611,4.48226531918034e-12,5.22280929527583e-09,4.46314896607587e-09,Abhd17b/Adora1/Ank1/Cacna1c/Cdh8/Cntn6/Dlg1/Ephb2/Erbb3/Erc2/F2r/Gabbr1/Gabra1/Gphn/Gria3/Grin2c/Grm1/Kcnh1/Kcnj3/Lrrc4/Nbea/Ntrk2/Olfm1/Ppp1r9b/Prkcg/Pten/Ptprd/Ptprz1/Rgs7bp/Shisa8/Srgap2/Syp,32
GO:0098984,CC,GO:0098984,neuron to neuron synapse,32/324,339/14611,4.48226531918034e-12,5.22280929527583e-09,4.46314896607587e-09,Abhd17b/Adgrb1/Adora1/Cabp1/Cacna1c/Dlg1/Dst/Erc2/Gng3/Gphn/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1a/Map4/Nf1/Ntrk2/Ppp1r9b/Prkcg/Ptch1/Ptprd/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srcin1/Srgap2/Syp,32
GO:0032279,CC,GO:0032279,asymmetric synapse,31/324,319/14611,4.62502483531178e-12,5.22280929527583e-09,4.46314896607587e-09,Abhd17b/Adgrb1/Adora1/Cabp1/Cacna1c/Dlg1/Dst/Erc2/Gng3/Gphn/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1a/Map4/Nf1/Ntrk2/Ppp1r9b/Prkcg/Ptch1/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srcin1/Srgap2/Syp,31
GO:0099572,CC,GO:0099572,postsynaptic specialization,31/324,327/14611,8.82971596699443e-12,7.97676540458277e-09,6.8165407265197e-09,Abhd17b/Adgrb1/Adora1/Cabp1/Cacna1c/Dlg1/Dst/Erc2/Gng3/Gphn/Gria3/Grin2c/Grm1/Inpp4a/Kcnab2/Kpna1/Lrrc4/Map1a/Map4/Nf1/Ntrk2/Ppp1r9b/Prkcg/Ptch1/Rgs7bp/Rpl8/Shisa8/Sptbn1/Srcin1/Srgap2/Syp,31
GO:0098793,CC,GO:0098793,presynapse,35/324,428/14611,2.54968484714167e-11,1.91948774242316e-08,1.64029725166114e-08,Adora1/Atp6v1g2/Cacna1c/Cdh8/Cntn6/Ctbp2/Dlg1/Ephb2/Erc2/Gabbr1/Gad2/Git2/Got1/Gria3/Grm1/Kcnab2/Kcnh1/Kcnj3/Kirrel3/Lamp1/Myo5a/Ntrk2/Prkcb/Prkcg/Ptprd/Rgs7bp/Sh3gl2/Sh3gl3/Slc17a7/Sptbn2/Sv2b/Synpr/Syp/Syt2/Tmem163,35
GO:0045211,CC,GO:0045211,postsynaptic membrane,23/324,238/14611,3.2879116495671e-09,2.12164241729923e-06,1.81304842390414e-06,Abhd17b/Adora1/Ank1/Cacna1c/Dlg1/Ephb2/Erbb3/F2r/Gabbr1/Gabra1/Gphn/Gria3/Grin2c/Grm1/Kcnh1/Lrrc4/Nbea/Ntrk2/Pten/Ptprz1/Rgs7bp/Shisa8/Srgap2,23
GO:0009898,CC,GO:0009898,cytoplasmic side of plasma membrane,17/324,148/14611,3.0584237425173e-08,1.6283855845473e-05,1.39153605409621e-05,Ank1/Cabp1/Dlg1/Dst/Gna12/Gnaq/Gng3/Gphn/Kcnab1/Kcnab2/Mien1/Mtss1/Myh10/Ppp1r9b/Pten/Rgs2/Ryr2,17
GO:0050808,BP,GO:0050808,synapse organization,31/324,457/14611,3.24451411576836e-08,1.6283855845473e-05,1.39153605409621e-05,Abhd17b/Adgrb1/Arhgef7/C1qa/Cabp1/Cdh8/Col4a1/Ephb2/Erc2/F2r/Gabra1/Gphn/Itpka/Kirrel3/Lrrc4/Mecp2/Myh10/Myo5a/Nptx1/Ntrk2/Ntrk3/Pten/Ptprd/Ptprt/Reln/Sez6l/Sptbn2/Srcin1/Tubb5/Wasf1/Wnt7a,31
GO:0098562,CC,GO:0098562,cytoplasmic side of membrane,17/324,162/14611,1.16974412509608e-07,5.283734213059e-05,4.51521232287087e-05,Ank1/Cabp1/Dlg1/Dst/Gna12/Gnaq/Gng3/Gphn/Kcnab1/Kcnab2/Mien1/Mtss1/Myh10/Ppp1r9b/Pten/Rgs2/Ryr2,17
