,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005615,CC,GO:0005615,extracellular space,62/524,403/8687,3.75E-12,1.84E-08,1.56E-08,Ctsb/Pcsk1n/Chga/Smpd1/Aldoa/Ckb/Cst3/Ctsd/Cd81/Mt3/Fam3c/C4b/Psap/Pebp1/Lrp8/Igf2/Sparc/Lgi4/Serpinh1/Pcdh15/Rnaset2b/Sod1/Vash1/Sdcbp/Pla2g7/Cmtm5/Igfbp6/Fgf1/Vegfb/Cd9/Dcn/Tnfrsf1a/S100a16/Sema7a/Nampt/Tcn2/Ctsz/Col18a1/Efemp1/Lrig1/Entpd1/Jam3/Cbln4/Sema3d/Aebp1/Col1a1/Col12a1/Lgals3bp/Fn1/Ghr/Col1a2/Aqp1/Col16a1/H2-D1/Col6a1/Igfbpl1/Nbl1/Spp1/Met/Adcyap1/Ctsh/Fibcd1,62
GO:0007268,BP,GO:0007268,chemical synaptic transmission,65/524,476/8687,2.28E-10,3.74E-07,3.18E-07,Kif1b/Itgb1/Vdac1/Prkcb/Syn3/Slc12a5/Hnrnpk/Dnm1/Cspg5/Ntrk2/Map1a/Abr/Ston2/Npas4/Nrxn2/Nsg1/Cplx1/Slc4a10/Adarb1/Pten/Ppp1r9b/Hap1/Sptbn2/Syngr1/Cadps/Sybu/Myo6/Arf1/Cacna1c/Ywhag/Myo5a/Src/Ppp1r9a/Gabrg2/Fgf12/Ncdn/Lrp8/Pclo/Nr3c1/Lin7a/Sv2b/Slc1a1/Homer1/Sdcbp/Rab3a/Dlg4/Gabra3/Slc12a2/Crtc1/Rap1a/Synpo/Tprgl/Dlgap3/Gnai2/Pfn2/Slitrk5/Dcdc2a/Nptx1/Slc6a9/Cacna2d2/Calb1/Lama2/Htr7/Met/Adcyap1,65
GO:0098916,BP,GO:0098916,anterograde trans-synaptic signaling,65/524,476/8687,2.28E-10,3.74E-07,3.18E-07,Kif1b/Itgb1/Vdac1/Prkcb/Syn3/Slc12a5/Hnrnpk/Dnm1/Cspg5/Ntrk2/Map1a/Abr/Ston2/Npas4/Nrxn2/Nsg1/Cplx1/Slc4a10/Adarb1/Pten/Ppp1r9b/Hap1/Sptbn2/Syngr1/Cadps/Sybu/Myo6/Arf1/Cacna1c/Ywhag/Myo5a/Src/Ppp1r9a/Gabrg2/Fgf12/Ncdn/Lrp8/Pclo/Nr3c1/Lin7a/Sv2b/Slc1a1/Homer1/Sdcbp/Rab3a/Dlg4/Gabra3/Slc12a2/Crtc1/Rap1a/Synpo/Tprgl/Dlgap3/Gnai2/Pfn2/Slitrk5/Dcdc2a/Nptx1/Slc6a9/Cacna2d2/Calb1/Lama2/Htr7/Met/Adcyap1,65
GO:0099537,BP,GO:0099537,trans-synaptic signaling,65/524,484/8687,4.67E-10,5.72E-07,4.86E-07,Kif1b/Itgb1/Vdac1/Prkcb/Syn3/Slc12a5/Hnrnpk/Dnm1/Cspg5/Ntrk2/Map1a/Abr/Ston2/Npas4/Nrxn2/Nsg1/Cplx1/Slc4a10/Adarb1/Pten/Ppp1r9b/Hap1/Sptbn2/Syngr1/Cadps/Sybu/Myo6/Arf1/Cacna1c/Ywhag/Myo5a/Src/Ppp1r9a/Gabrg2/Fgf12/Ncdn/Lrp8/Pclo/Nr3c1/Lin7a/Sv2b/Slc1a1/Homer1/Sdcbp/Rab3a/Dlg4/Gabra3/Slc12a2/Crtc1/Rap1a/Synpo/Tprgl/Dlgap3/Gnai2/Pfn2/Slitrk5/Dcdc2a/Nptx1/Slc6a9/Cacna2d2/Calb1/Lama2/Htr7/Met/Adcyap1,65
GO:0062023,CC,GO:0062023,collagen-containing extracellular matrix,31/524,156/8687,2.62E-09,1.92E-06,1.63E-06,Itgb1/Ctsb/Cst3/Ncan/Ctsd/Igf2/Sparc/Serpinh1/Htra1/Igfbp6/Dcn/Itih5/Ctsz/Col18a1/Efemp1/Entpd1/Plod1/Pmp22/Lamc1/Lamb2/Col1a1/Col12a1/Fn1/Col1a2/Matn4/Lama4/Anxa7/Col16a1/Lama2/Col6a1/Fibcd1,31
GO:0030312,CC,GO:0030312,external encapsulating structure,35/524,192/8687,2.73E-09,1.92E-06,1.63E-06,Itgb1/Ctsb/Adamts19/Cst3/Ncan/Ctsd/Igf2/Sparc/Serpinh1/Hsd17b12/Htra1/Igfbp6/Fgf1/Dcn/Itih5/Ctsz/Col18a1/Efemp1/Lrig1/Entpd1/Plod1/Pmp22/Lamc1/Lamb2/Col1a1/Col12a1/Fn1/Col1a2/Matn4/Lama4/Anxa7/Col16a1/Lama2/Col6a1/Fibcd1,35
GO:0031012,CC,GO:0031012,extracellular matrix,35/524,192/8687,2.73E-09,1.92E-06,1.63E-06,Itgb1/Ctsb/Adamts19/Cst3/Ncan/Ctsd/Igf2/Sparc/Serpinh1/Hsd17b12/Htra1/Igfbp6/Fgf1/Dcn/Itih5/Ctsz/Col18a1/Efemp1/Lrig1/Entpd1/Plod1/Pmp22/Lamc1/Lamb2/Col1a1/Col12a1/Fn1/Col1a2/Matn4/Lama4/Anxa7/Col16a1/Lama2/Col6a1/Fibcd1,35
GO:0030425,CC,GO:0030425,dendrite,64/524,500/8687,4.64E-09,2.85E-06,2.42E-06,Gabarapl1/Kif1b/Inpp5j/Atcay/Itgb1/Atp1a3/Psd/Slc12a5/Hnrnpk/Cryab/Ntrk2/Gnb1/Map1a/Gnas/Canx/Nsg1/Sh3gl2/Ckb/Cplx1/Slc4a10/Pten/Ppp1r9b/Nsf/Hap1/Ppp1cc/Sorbs2/Mt3/Cacna1c/Myo5a/Ppp1r9a/Gabrg2/C4b/Tubb3/Ncdn/Tanc2/Cacna1h/Pclo/Nr3c1/Negr1/Eef2k/Slc1a1/Sod1/Homer1/Dlg4/Ccng1/Gabra3/Crtc1/Dyrk1a/Kcna4/Synpo/Dlgap3/Lamp1/Gnai2/Kcnc1/Kcnb2/Chl1/Arhgap44/Whrn/Cyba/Calb1/Htr7/Cabp1/Kcnj12/Met,64
GO:0005178,MF,GO:0005178,integrin binding,18/524,62/8687,1.29E-08,6.62E-06,5.62E-06,Itgb1/Cd81/Src/Igf2/Fgf1/Cd9/Sema7a/Dmd/Jam2/Jam3/Lamb2/Itga7/Fn1/Anxa7/Tln1/Col16a1/Lyn/Spp1,18
GO:0034330,BP,GO:0034330,cell junction organization,61/524,479/8687,1.35E-08,6.62E-06,5.62E-06,Itgb1/Nedd4l/Hnrnpk/Nrcam/Ntrk2/Npas4/Nrxn2/Ncan/Pten/Cttnbp2/Sptbn2/Gjb6/Sybu/Pgrmc1/Sez6l/Myo6/Sorbs2/Arf1/Myo5a/Src/Ppp1r9a/Gabrg2/Ndrg2/Tanc2/Lrp8/Pclo/Sparc/Arhgef9/Negr1/Cldn11/Eef2k/Slc1a1/Jup/Homer1/Sdcbp/Rab3a/Dlg4/Dab2ip/Cd9/Rap1a/Synpo/Dlgap3/Pfn2/Iqgap1/Bcl2/Slitrk5/Nptx1/Jam3/Arhgap44/Cbln4/Pmp22/Lims1/Lamc1/Lamb2/Fn1/Whrn/Rhoc/Tln1/Cacna2d2/Col16a1/Cabp1,61
