,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005178,MF,GO:0005178,integrin binding,10/154,62/8687,1.11579296194131e-07,0.000357165327117413,0.0003271035156849,Itgb1/Cd81/Src/Sema7a/Jam3/Lamb2/Fn1/Anxa7/Tln1/Spp1,10
GO:0005615,CC,GO:0005615,extracellular space,22/154,403/8687,2.21404913552603e-06,0.00354358564140941,0.00324532991707368,Ctsb/Cst3/Ctsd/Cd81/C4b/Vash1/Igfbp6/Vegfb/Tnfrsf1a/Sema7a/Tcn2/Ctsz/Jam3/Lgals3bp/Fn1/Ghr/H2-D1/Col6a1/Nbl1/Spp1/Met/Ctsh,22
GO:0062023,CC,GO:0062023,collagen-containing extracellular matrix,13/154,156/8687,3.60908206438899e-06,0.00385089056270306,0.00352676966642925,Itgb1/Ctsb/Cst3/Ctsd/Htra1/Igfbp6/Ctsz/Plod1/Lamc1/Lamb2/Fn1/Anxa7/Col6a1,13
GO:0098552,CC,GO:0098552,side of membrane,15/154,223/8687,9.01026153506217e-06,0.0072104617934335,0.00660357325661793,Itgb1/Ctsb/Pdpn/Ryr2/Canx/Ppp1r9b/Cyth3/Src/Rgs2/Gnai2/Sema7a/Fgfr3/Ghr/Cxcr5/H2-D1,15
GO:0007186,BP,GO:0007186,G protein-coupled receptor signaling pathway,15/154,245/8687,2.76104757456832e-05,0.0156448556565172,0.0143280629419755,Itgb1/Ywhab/Ppp1r9b/Src/Rgs2/Homer1/Adcyap1r1/Scg5/Gnai2/Vip/Prokr2/Cxcr5/Htr7/Opn3/Met,15
GO:0030312,CC,GO:0030312,external encapsulating structure,13/154,192/8687,3.42124303641427e-05,0.0156448556565172,0.0143280629419755,Itgb1/Ctsb/Cst3/Ctsd/Htra1/Igfbp6/Ctsz/Plod1/Lamc1/Lamb2/Fn1/Anxa7/Col6a1,13
GO:0031012,CC,GO:0031012,extracellular matrix,13/154,192/8687,3.42124303641427e-05,0.0156448556565172,0.0143280629419755,Itgb1/Ctsb/Cst3/Ctsd/Htra1/Igfbp6/Ctsz/Plod1/Lamc1/Lamb2/Fn1/Anxa7/Col6a1,13
GO:0019955,MF,GO:0019955,cytokine binding,6/154,41/8687,7.58197969979845e-05,0.0303373962738186,0.0277839650841298,Itgb1/Pdpn/Tnfrsf1a/Ghr/Cxcr5/Nbl1,6
GO:0000323,CC,GO:0000323,lytic vacuole,15/154,282/8687,0.000137239964545096,0.0439305126508853,0.0402329790797993,Ctsb/Lrba/Cltc/Cst3/Mlc1/Ctsd/Mt1/Myo5a/Src/Ctsz/Fgfr3/Tpcn1/H2-D1/Unc93b1/Ctsh,15
GO:0005764,CC,GO:0005764,lysosome,15/154,282/8687,0.000137239964545096,0.0439305126508853,0.0402329790797993,Ctsb/Lrba/Cltc/Cst3/Mlc1/Ctsd/Mt1/Myo5a/Src/Ctsz/Fgfr3/Tpcn1/H2-D1/Unc93b1/Ctsh,15
